1.86, 1.18, 1.57
1.87, 1.19, 1.58
1.88, 1.19, 1.58
1.89, 1.19, 1.58
1.90, 1.19, 1.57
1.91, 1.18, 1.57
1.92, 1.18, 1.56
1.93, 1.18, 1.58
1.94, 1.19, 1.57
1.95, 1.18, 1.58
1.96, 1.24, 1.58
1.96, 1.19, 1.58
1.97, 1.20, 1.57
1.98, 1.20, 1.58
1.99, 1.21, 1.61
2.00, 1.21, 1.60
2.01, 1.21, 1.61
2.02, 1.21, 1.59
2.03, 1.21, 1.60
2.04, 1.20, 1.60
2.05, 1.19, 1.59
2.05, 1.19, 1.59
2.06, 1.19, 1.58
2.07, 1.21, 1.59
2.08, 1.19, 1.57
2.09, 1.18, 1.58
2.10, 1.15, 1.58
2.11, 1.18, 1.58
2.12, 1.17, 1.58
2.13, 1.20, 1.59
2.14, 1.20, 1.58
2.14, 1.19, 1.57
2.15, 1.20, 1.59
2.16, 1.20, 1.59
2.17, 1.20, 1.60
2.18, 1.21, 1.60
2.19, 1.21, 1.60
2.20, 1.22, 1.59
2.21, 1.20, 1.59
2.22, 1.21, 1.59
2.23, 1.20, 1.60
2.23, 1.20, 1.60
2.24, 1.21, 1.60
2.25, 1.22, 1.61
2.26, 1.21, 1.61
2.27, 1.21, 1.62
2.28, 1.22, 1.61
2.29, 1.21, 1.62
2.30, 1.22, 1.61
2.31, 1.21, 1.60
2.32, 1.21, 1.60
2.32, 1.20, 1.60
2.33, 1.21, 1.60
2.34, 1.20, 1.59
2.35, 1.21, 1.60
2.36, 1.21, 1.60
2.37, 1.22, 1.61
2.38, 1.21, 1.60
2.39, 1.21, 1.61
2.40, 1.21, 1.60
2.41, 1.22, 1.61
2.41, 1.22, 1.62
2.42, 1.22, 1.61
2.43, 1.22, 1.61
2.44, 1.21, 1.60
2.45, 1.21, 1.61
2.46, 1.21, 1.60
2.47, 1.21, 1.60
2.48, 1.21, 1.60
2.49, 1.21, 1.60
2.50, 1.20, 1.60
2.50, 1.21, 1.61
2.51, 1.21, 1.60
2.52, 1.21, 1.60
2.53, 1.21, 1.60
2.54, 1.21, 1.61
2.55, 1.21, 1.61
2.56, 1.22, 1.61
2.57, 1.20, 1.61
2.58, 1.22, 1.61
2.59, 1.21, 1.60
2.59, 1.21, 1.60
2.60, 1.21, 1.60
2.61, 1.21, 1.60
2.62, 1.21, 1.60
2.63, 1.21, 1.60
2.64, 1.21, 1.60
2.65, 1.20, 1.59
2.66, 1.19, 1.59
2.67, 1.19, 1.58
2.68, 1.19, 1.59
2.68, 1.19, 1.58
2.69, 1.19, 1.59
2.70, 1.18, 1.58
2.71, 1.19, 1.58
2.72, 1.20, 1.59
2.73, 1.20, 1.59
2.74, 1.20, 1.59
2.75, 1.20, 1.59
2.76, 1.20, 1.59
2.77, 1.20, 1.59
2.77, 1.20, 1.59
2.78, 1.19, 1.59
2.79, 1.19, 1.59
2.80, 1.20, 1.59
2.81, 1.20, 1.59
2.82, 1.19, 1.59
2.83, 1.19, 1.59
2.84, 1.19, 1.58
2.85, 1.19, 1.58
2.86, 1.19, 1.57
2.86, 1.18, 1.57
2.87, 1.19, 1.58
2.88, 1.18, 1.57
2.89, 1.17, 1.57
2.90, 1.17, 1.57
2.91, 1.18, 1.57
2.92, 1.18, 1.56
2.93, 1.17, 1.57
2.94, 1.17, 1.57
2.95, 1.17, 1.56
2.96, 1.17, 1.56
2.96, 1.17, 1.55
2.97, 1.16, 1.55
2.98, 1.17, 1.56
2.99, 1.17, 1.57
3.00, 1.17, 1.56
3.01, 1.17, 1.55
3.02, 1.16, 1.55
3.03, 1.17, 1.56
3.04, 1.17, 1.56
3.05, 1.17, 1.55
3.05, 1.16, 1.55
3.06, 1.15, 1.54
3.07, 1.15, 1.54
3.08, 1.16, 1.55
3.09, 1.14, 1.55
3.10, 1.16, 1.54
3.11, 1.17, 1.54
3.12, 1.15, 1.53
3.13, 1.14, 1.53
3.14, 1.13, 1.53
3.14, 1.14, 1.53
3.15, 1.13, 1.52
3.16, 1.14, 1.54
3.17, 1.13, 1.52
3.18, 1.13, 1.52
3.19, 1.13, 1.52
